ID	Technology	Multi_Details	HG_Num	Type	METRIC.Precision	METRIC.Recall	METRIC.F1_Score	TRUTH.TP	TRUTH.FN	QUERY.TP	QUERY.FP	FP.gt	FP.al	challenge_cat
S7K7S	ILLUMINA	NA	4	INDEL	0.997439	0.994768	0.996102	508774	2676	530859	1363	709	331	All Benchmark Regions
S7K7S	ILLUMINA	NA	4	INDEL	0.98188	0.958478	0.970038	1662	72	1734	32	7	19	MHC
S7K7S	ILLUMINA	NA	4	INDEL	0.978397	0.912865	0.944495	15086	1440	15308	338	108	44	Difficult-to-Map Regions
S7K7S	ILLUMINA	NA	4	SNP	0.998015	0.993464	0.995734	3333666	21931	3335300	6634	1739	677	All Benchmark Regions
S7K7S	ILLUMINA	NA	4	SNP	0.985047	0.97405	0.979517	20044	534	20026	304	45	126	MHC
S7K7S	ILLUMINA	NA	4	SNP	0.978687	0.920856	0.948891	242930	20879	243007	5292	1580	420	Difficult-to-Map Regions
S7K7S	ILLUMINA	NA	3	INDEL	0.997281	0.994834	0.996056	502222	2608	523420	1427	724	344	All Benchmark Regions
S7K7S	ILLUMINA	NA	3	INDEL	0.978463	0.971532	0.974986	1604	47	1681	37	12	20	MHC
S7K7S	ILLUMINA	NA	3	INDEL	0.978137	0.915097	0.945567	15057	1397	15256	341	101	51	Difficult-to-Map Regions
S7K7S	ILLUMINA	NA	3	SNP	0.997925	0.993795	0.995856	3310817	20672	3312456	6887	1675	686	All Benchmark Regions
S7K7S	ILLUMINA	NA	3	SNP	0.978035	0.983078	0.98055	19404	334	19369	435	81	187	MHC
S7K7S	ILLUMINA	NA	3	SNP	0.978822	0.923536	0.950376	239037	19791	239091	5173	1484	386	Difficult-to-Map Regions
S7K7S	ILLUMINA	NA	2	INDEL	0.998149	0.995453	0.996799	523006	2389	545286	1011	540	287	All Benchmark Regions
S7K7S	ILLUMINA	NA	2	INDEL	0.989461	0.975361	0.98236	1623	41	1690	18	8	10	MHC
S7K7S	ILLUMINA	NA	2	INDEL	0.985939	0.925816	0.954932	16224	1300	16478	235	73	35	Difficult-to-Map Regions
S7K7S	ILLUMINA	NA	2	SNP	0.999079	0.994555	0.996812	3347024	18323	3348797	3087	1143	431	All Benchmark Regions
S7K7S	ILLUMINA	NA	2	SNP	0.99859	0.985758	0.992133	19865	287	19827	28	15	8	MHC
S7K7S	ILLUMINA	NA	2	SNP	0.988737	0.932	0.95953	241786	17641	241846	2755	1023	301	Difficult-to-Map Regions
