Participant(s)	Technology	Multi_Details	Submission_Name	Type	challenge_cat	FP.al	FP.gt	METRIC.F1_Score	METRIC.Precision	METRIC.Recall	QUERY.FP	QUERY.TP	TRUTH.FN	TRUTH.TP
The Genomics Team in Google Health	ILLUMINA	NA	DeepTrio Illumina	INDEL	All Benchmark Regions	337	716	0.996079	0.997359997	0.994800999	1395	527126	2642	505487
The Genomics Team in Google Health	ILLUMINA	NA	DeepTrio Illumina	INDEL	Difficult-to-Map Regions	47	104	0.945030848	0.978266991	0.913980319	339	15282	1418	15071
The Genomics Team in Google Health	ILLUMINA	NA	DeepTrio Illumina	INDEL	MHC	19	9	0.972508853	0.980170011	0.964982926	34	1707	58	1633
The Genomics Team in Google Health	ILLUMINA	NA	DeepTrio Illumina	SNP	All Benchmark Regions	681	1707	0.995794998	0.997969999	0.993629486	6759	3323858	21292	3322222
The Genomics Team in Google Health	ILLUMINA	NA	DeepTrio Illumina	SNP	Difficult-to-Map Regions	403	1531	0.94963321	0.978754498	0.922195026	5232	241041	20328	240976
The Genomics Team in Google Health	ILLUMINA	NA	DeepTrio Illumina	SNP	MHC	153	60	0.980033364	0.981534738	0.978553589	364	19695	422	19721
The Genomics Team in Google Health	ILLUMINA	NA	DeepTrio Illumina	SNVandINDEL	All Benchmark Regions	1019	2423	0.995831138	0.997886531	0.993784204	8154	3850988	23934	3827711
The Genomics Team in Google Health	ILLUMINA	NA	DeepTrio Illumina	SNVandINDEL	Difficult-to-Map Regions	450	1636	0.949360685	0.97872538	0.921707147	5572	256323	21746	256047
The Genomics Team in Google Health	ILLUMINA	NA	DeepTrio Illumina	SNVandINDEL	MHC	173	70	0.979451712	0.981425531	0.977502244	398	21402	481	21354
The Genomics Team in Google Health	PACBIO	NA	DeepTrio PacBio	INDEL	All Benchmark Regions	1052	1241	0.99491849	0.995142998	0.994692973	2572	527069	2694	505433
The Genomics Team in Google Health	PACBIO	NA	DeepTrio PacBio	INDEL	Difficult-to-Map Regions	17	17	0.984227376	0.990119389	0.97840572	162	16291	355	16134
The Genomics Team in Google Health	PACBIO	NA	DeepTrio PacBio	INDEL	MHC	11	5	0.977185474	0.989661238	0.96503941	18	1719	57	1633
The Genomics Team in Google Health	PACBIO	NA	DeepTrio PacBio	SNP	All Benchmark Regions	297	642	0.9985175	0.999403499	0.997632499	1986	3338473	7915	3335605
The Genomics Team in Google Health	PACBIO	NA	DeepTrio PacBio	SNP	Difficult-to-Map Regions	58	262	0.985593849	0.996720379	0.974712816	829	254888	6606	254699
The Genomics Team in Google Health	PACBIO	NA	DeepTrio PacBio	SNP	MHC	10	21	0.985884745	0.998146414	0.973949468	35	19609	475	19629
The Genomics Team in Google Health	PACBIO	NA	DeepTrio PacBio	SNVandINDEL	All Benchmark Regions	1349	1885	0.998031911	0.998820586	0.997244483	4563	3865544	10609	3841039
The Genomics Team in Google Health	PACBIO	NA	DeepTrio PacBio	SNVandINDEL	Difficult-to-Map Regions	75	279	0.985510185	0.996321047	0.974931424	991	271179	6961	270833
The Genomics Team in Google Health	PACBIO	NA	DeepTrio PacBio	SNVandINDEL	MHC	23	27	0.985195329	0.997456748	0.973259277	53	21328	532	21261
The Genomics Team in Google Health	MULTI	ILLUMINAPACBIO	DeepVariant Hybrid PacBio-Illumina	INDEL	All Benchmark Regions	974	641	0.996950999	0.996488	0.997413495	1863	528765	1313	506815
The Genomics Team in Google Health	MULTI	ILLUMINAPACBIO	DeepVariant Hybrid PacBio-Illumina	INDEL	Difficult-to-Map Regions	36	29	0.989601372	0.987971698	0.991236473	201	16553	144	16345
The Genomics Team in Google Health	MULTI	ILLUMINAPACBIO	DeepVariant Hybrid PacBio-Illumina	INDEL	MHC	15	14	0.979263493	0.982917416	0.975642943	30	1751	39	1651
The Genomics Team in Google Health	MULTI	ILLUMINAPACBIO	DeepVariant Hybrid PacBio-Illumina	SNP	All Benchmark Regions	550	609	0.9991895	0.998961999	0.999417	3470	3343869	1950	3341571
