Subset	path	strat_id
GRCh38_notinrefseq_cds.bed.gz	FunctionalRegions/GRCh38_notinrefseq_cds.bed.gz	notin CDS
GRCh38_refseq_cds.bed.gz	FunctionalRegions/GRCh38_refseq_cds.bed.gz	CDS
GRCh38_BadPromoters.bed.gz	FunctionalTechnicallyDifficultRegions/GRCh38_BadPromoters.bed.gz	Bad Promoters
GRCh38_gc15_slop50.bed.gz	GCcontent/GRCh38_gc15_slop50.bed.gz	GC <15
GRCh38_gc15to20_slop50.bed.gz	GCcontent/GRCh38_gc15to20_slop50.bed.gz	15 < GC < 20
GRCh38_gc20to25_slop50.bed.gz	GCcontent/GRCh38_gc20to25_slop50.bed.gz	20 < GC < 25
GRCh38_gc25to30_slop50.bed.gz	GCcontent/GRCh38_gc25to30_slop50.bed.gz	25 < GC < 30
GRCh38_gc30to55_slop50.bed.gz	GCcontent/GRCh38_gc30to55_slop50.bed.gz	30 < GC < 55
GRCh38_gc55to60_slop50.bed.gz	GCcontent/GRCh38_gc55to60_slop50.bed.gz	 55 < GC < 60
GRCh38_gc60to65_slop50.bed.gz	GCcontent/GRCh38_gc60to65_slop50.bed.gz	 60 < GC < 65
GRCh38_gc65to70_slop50.bed.gz	GCcontent/GRCh38_gc65to70_slop50.bed.gz	65 < GC < 70
GRCh38_gc70to75_slop50.bed.gz	GCcontent/GRCh38_gc70to75_slop50.bed.gz	 70 < GC < 75
GRCh38_gc75to80_slop50.bed.gz	GCcontent/GRCh38_gc75to80_slop50.bed.gz	75 < GC < 80
GRCh38_gc80to85_slop50.bed.gz	GCcontent/GRCh38_gc80to85_slop50.bed.gz	80 < GC < 85
GRCh38_gc85_slop50.bed.gz	GCcontent/GRCh38_gc85_slop50.bed.gz	GC > 85
GRCh38_gclt25orgt65_slop50.bed.gz	GCcontent/GRCh38_gclt25orgt65_slop50.bed.gz	"GC <25, GC > 85"
GRCh38_gclt30orgt55_slop50.bed.gz	GCcontent/GRCh38_gclt30orgt55_slop50.bed.gz	"GC < 30, GC > 55"
GRCh38_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_GIABv3.2.2_compoundhet_slop50.bed.gz	
GRCh38_HG001_GIABv3.2.2_varswithin50bp.bed.gz	GenomeSpecific/GRCh38_HG001_GIABv3.2.2_varswithin50bp.bed.gz	
GRCh38_HG001_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	
GRCh38_HG001_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	
GRCh38_HG001_GIABv3.3.2_complexandSVs.bed.gz	GenomeSpecific/GRCh38_HG001_GIABv3.3.2_complexandSVs.bed.gz	
GRCh38_HG001_GIABv3.3.2_complexindel10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_GIABv3.3.2_complexindel10bp_slop50.bed.gz	
GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_alldifficultregions.bed.gz	GenomeSpecific/GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_alldifficultregions.bed.gz	
GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_notin_alldifficultregions.bed.gz	GenomeSpecific/GRCh38_HG001_GIABv3.3.2_RTG_PG_v3.3.2_SVs_notin_alldifficultregions.bed.gz	
GRCh38_HG001_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_GIABv3.3.2_snpswithin10bp_slop50.bed.gz	
GRCh38_HG001_PacBio_MetaSV.bed.gz	GenomeSpecific/GRCh38_HG001_PacBio_MetaSV.bed.gz	
GRCh38_HG001_PG2016-1.0_comphetindel10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_PG2016-1.0_comphetindel10bp_slop50.bed.gz	
GRCh38_HG001_PG2016-1.0_comphetsnp10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_PG2016-1.0_comphetsnp10bp_slop50.bed.gz	
GRCh38_HG001_PG2016-1.0_complexindel10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_PG2016-1.0_complexindel10bp_slop50.bed.gz	
GRCh38_HG001_PG2016-1.0_snpswithin10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_PG2016-1.0_snpswithin10bp_slop50.bed.gz	
GRCh38_HG001_RTG_37.7.3_comphetindel10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_RTG_37.7.3_comphetindel10bp_slop50.bed.gz	
GRCh38_HG001_RTG_37.7.3_comphetsnp10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_RTG_37.7.3_comphetsnp10bp_slop50.bed.gz	
GRCh38_HG001_RTG_37.7.3_complexindel10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_RTG_37.7.3_complexindel10bp_slop50.bed.gz	
GRCh38_HG001_RTG_37.7.3_snpswithin10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG001_RTG_37.7.3_snpswithin10bp_slop50.bed.gz	
GRCh38_HG002_expanded_150__Tier1plusTier2_v0.6.1.bed.gz	GenomeSpecific/GRCh38_HG002_expanded_150__Tier1plusTier2_v0.6.1.bed.gz	
GRCh38_HG002_GIABv3.2.2_compoundhet_slop50.bed.gz	GenomeSpecific/GRCh38_HG002_GIABv3.2.2_compoundhet_slop50.bed.gz	
GRCh38_HG002_GIABv3.2.2_varswithin50bp.bed.gz	GenomeSpecific/GRCh38_HG002_GIABv3.2.2_varswithin50bp.bed.gz	
GRCh38_HG002_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG002_GIABv3.3.2_comphetindel10bp_slop50.bed.gz	
GRCh38_HG002_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	GenomeSpecific/GRCh38_HG002_GIABv3.3.2_comphetsnp10bp_slop50.bed.gz	
